GDP at current market prices (Million euro),,,,,,,,,,,,,,,,,,
source: nama_10r_2gdp (eurostat) Swiss Federal Statistical Office (FSO) CHF-EURO 1.07 (2015),,,,,,,,,,,,,,,,,,
nuts_2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
DK02,18740.67,19656.63,20564.79,21022.51,21885.77,22577.3,24028.29,24453.88,24256.99,23437.27,24547.41,24744.88,25470.62,25452.3,25982.97,27592.27,28165.99,29059.61
DK03,35098.36,36215.33,37644.84,38299.75,39542.9,40170.85,43497.34,45666.54,47190.59,45297.11,47069.35,48275.04,49040.87,50154.47,51473.07,52592.07,53801.27,55282.29
DK04,36762.95,38346.22,40096.66,40349.18,41814.14,42750.77,46690.59,48318.22,49903.06,48727.33,49135.59,51001.38,51529.72,52311.72,53675.21,54150.95,57416.34,59585.04
DK05,16647.04,17177.01,18143.83,18456.3,18511.92,18973.06,20513.16,21431.48,21888.78,21130.47,21366.13,21628.15,22342.4,22603.35,22880.11,23613.64,24420.4,25536.64
EE00,6170.77,6976.37,7773.84,8708.88,9707.66,11262.3,13521.71,16246.4,16517.27,14145.86,14716.53,16667.63,17934.89,18932.28,20061.19,20652.01,21682.65,23615.11
EL30,64920.7,68948.32,75416.85,82494.25,90814.66,94038.98,104333.63,112007.91,116716.94,116000.89,110462.15,100971.58,92671.3,87642.09,86047.08,84514.6,83872.31,85285.21
EL41,1920.06,2030.94,2116.46,2490.15,2637.97,2797.22,3040.6,3304.37,3513.52,3395.47,3184.47,2944.12,2678.17,2572.94,2552.55,2504.2,2455.45,2497.82
EL42,4859.57,5071.12,5158.33,5783.96,6299.07,6661.94,7178.06,7683.25,8183.03,7599.14,7236.17,6603.42,6079.42,5983.12,6042.11,6120.53,5980.76,6113.81
EL43,6983.48,7550.65,8079.93,8800.73,9678.84,9867.01,10692.91,11200.47,11807.52,11509.23,10859.92,9715.67,8845.34,8564.52,8780.96,8880.05,8732.22,8961.88
EL51,5950.78,6280.44,6685.58,7206.05,7610.56,7867.8,8141.33,8906.26,9450.34,9306.01,9197.63,8149.88,7579.47,7004.48,6877.74,6830.77,6901.25,6938.65
EL52,20069.98,21505.2,22602.81,24513.54,26694.29,26890.05,29549.75,31951.55,33304.45,32439.07,30347.86,28091.55,25807.04,24172.29,23771.4,23918.11,24237.43,24952.66
EL53,3285.84,3533.09,3893.33,4324.14,4565.83,4760.04,4925.56,4978.84,4801.57,5038.6,4980.91,4818.94,4724.15,4398.39,4530.01,4336.71,3915.54,4010.06
EL54,3437.24,3638.69,3966.91,4303.47,4422.34,4513.69,4788.91,5028.61,5157.9,5024.51,4930.15,4611.25,4187.22,3989.21,3955.23,3925.24,3960.03,4001.38
EL61,7549.01,8083.25,8681,9883.07,10396.55,10229.76,11213.68,11752.2,12186.27,11814.34,10835.34,9953.17,9516.79,9064.71,9114.24,9153.57,9213.91,9436.89
EL62,2718.55,2938.18,2975.7,3400.9,3609.42,3789.2,4029.81,4285.3,4522.18,4200.25,3992.38,3479.28,3259.88,3066.45,3111.77,3128.53,3124.42,3158.92
EL63,6971.69,7419.24,8059.57,8772.07,9472.86,9724.62,10728.07,11243.68,11364.73,10889.66,10671.39,9610.56,8956.6,8274.67,8195.7,8155.8,8031.87,8164.38
EL64,7840.54,8283.74,8520.42,9151.36,9384.92,9738.16,10115.6,10562.47,10879.47,10404.88,9903.19,9273.45,8628.03,8074.66,7911.69,7960.02,8185.24,8552.4
EL65,6468.56,6910.98,7303.87,7781.21,8128.5,8363.84,9123.66,9789.69,10102.45,9912.12,9429.89,8806.03,8270.49,7846.75,7766.01,7830.24,7877.51,8143.53
ES11,33391.18,35968.09,38451.22,41225.47,44351.21,48125.47,52169.08,56233.89,58586.07,56742.06,57028.03,55832.85,54028.45,53715.42,53981.1,56300.06,57958.87,60568.09
ES12,14266.59,15389.26,16315.28,17269.87,18386.08,19955.51,21700.36,23239.37,23990.38,22724.92,22869.83,22466.73,21421.16,20670.72,20562.67,21247.44,21597.59,22909.98
ES13,7945.29,8604.05,9198.48,9704.14,10339.13,11169.62,11976.08,12845.74,13279.84,12810.14,12826.97,12592.66,12153.37,11751.42,11935.69,12181.45,12571.26,13187.15
ES21,40711.41,43591.32,46167.22,48879.86,52130.81,56211.63,60937.67,65091.94,67701.04,64938.34,65683.84,65181.96,63824.65,62654.01,63895.92,66118.9,68391.95,71464.33
ES22,11157.47,11906.25,12741.23,13586.43,14514.31,15635.13,16816.1,17958.62,18739.48,18205.76,18257.73,18222.13,17574.77,17482.64,17836.02,18403.54,19055.93,19776.87
ES23,4889.85,5224.73,5533.85,5994.2,6358.61,6855.26,7419.95,7963.06,8275.66,7950.57,8014.06,7914.19,7655.94,7517.93,7647.15,7886.07,7944.56,8182.36
ES24,20042.84,21557.35,23410.56,25087.79,26800.59,28907.05,31407.16,34228.25,35616.75,34139.19,34408.15,33920.02,32538.08,32587.12,32801.43,33326.71,34698.77,36379.7
ES30,114203.37,124397.93,133558.9,143196.08,153815.35,166138.73,181318.12,194533.37,202013.71,199508.68,197925.56,198904.46,195628.8,192900.11,195190.75,204304.27,211781.88,220024.92
ES41,35646.08,37970.7,40385.22,42969.8,45712.49,48866.69,52148.03,55831.5,57094.65,55460.18,55560.95,55081.11,53450.87,51856.25,51886.6,53534.64,55211.84,56819.65
ES42,21713.69,23582.81,25415.82,27621.59,29647.23,32485.43,35434.28,38706.88,40391.08,39212.3,39231.99,38777.29,37506.92,36584.8,35765.87,37442.01,38748.6,40298.76
ES43,10745.46,11484.44,12237.78,13094.98,13986.83,15215.49,16231.09,17482.46,18155.6,17778.37,18027.65,17564.74,16876.53,16782.77,16706.85,17522.73,18134.01,18838.49
ES51,122056.85,132311.04,141450.48,151676.93,162716.07,175031.7,189854.11,203402.64,209013.65,202037.46,203334.36,200201.83,195228.35,193145.56,196675.72,205349.96,213930.54,223987.88
ES52,62531.68,68323.89,73246.59,78242.14,83895.98,90535.45,98381.76,105192.64,108512.42,102786.08,102334.17,100673.27,96437.17,95256.48,97309.73,100851.36,104187.81,108632.63
ES53,16492.84,17789.73,18780.08,19692.92,20983.9,22602.71,24429.56,26144.87,27195.04,26154.3,26195.9,26032.28,25649.04,25510.55,26300.7,27617.76,29134.15,30435.86
ES61,86331.52,93492.55,100887.93,109789.64,118724.32,128986.56,139066.93,148644.78,152143.74,146322.01,146132.06,144664.22,139723.87,137390.52,139084.27,145760.53,149691.5,155934.71
